"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2021,280,264,16,0,0,0,0,61,48,35,0,0,221,59,0
"Alabama","Clay",2021,110,101,9,0,0,0,0,67,47,27,0,0,0,110,0
"Alabama","DeKalb",2021,361,331,30,0,0,0,0,84,49,36,0,0,320,41,0
"Alabama","Elmore",2021,241,238,3,0,0,0,0,87,44,32,0,0,241,0,0
"Alabama","Etowah",2021,286,253,33,0,0,0,0,77,51,36,0,0,213,73,0
"Alabama","Jefferson",2021,365,174,186,3,2,0,0,179,77,51,0,1,83,280,1
"Alabama","Lawrence",2021,42,41,1,0,0,0,0,55,43,20,0,0,0,42,0
"Alabama","Madison",2021,357,269,86,2,0,0,0,105,58,41,0,0,119,225,13
"Alabama","Mobile",2021,361,270,91,0,0,0,0,81,57,44,0,0,78,283,0
"Alabama","Montgomery",2021,354,294,60,0,0,0,0,93,55,37,0,0,151,203,0
"Alabama","Morgan",2021,365,293,72,0,0,0,0,96,58,39,0,0,119,246,0
"Alabama","Russell",2021,364,285,76,3,0,0,0,142,60,38,0,0,103,261,0
"Alabama","Shelby",2021,243,231,12,0,0,0,0,77,48,35,0,0,243,0,0
"Alabama","Sumter",2021,355,338,17,0,0,0,0,68,45,29,0,0,166,189,0
"Alabama","Tuscaloosa",2021,281,265,16,0,0,0,0,90,46,31,0,0,204,77,0
"Alaska","Aleutians East ",2021,51,51,0,0,0,0,0,38,21,11,0,0,0,51,0
"Alaska","Anchorage ",2021,365,313,50,2,0,0,0,132,53,22,2,0,0,244,119
"Alaska","Denali ",2021,363,360,3,0,0,0,0,74,41,33,0,0,363,0,0
"Alaska","Fairbanks North Star ",2021,365,254,77,21,13,0,0,179,97,35,0,0,99,264,2
"Alaska","Juneau ",2021,357,331,26,0,0,0,0,88,42,15,0,0,0,350,7
"Alaska","Kenai Peninsula ",2021,50,50,0,0,0,0,0,29,16,7,0,0,0,50,0
"Alaska","Matanuska-Susitna ",2021,350,319,28,2,1,0,0,160,47,12,0,0,0,274,76
"Alaska","North Slope ",2021,48,48,0,0,0,0,0,21,15,5,0,0,0,48,0
"Arizona","Apache",2021,358,355,3,0,0,0,0,88,26,13,0,0,0,22,336
"Arizona","Cochise",2021,365,259,104,2,0,0,0,105,60,45,0,0,308,0,57
"Arizona","Coconino",2021,365,269,96,0,0,0,0,93,64,45,0,0,364,1,0
"Arizona","Gila",2021,365,240,115,8,2,0,0,180,80,45,0,0,345,0,20
"Arizona","La Paz",2021,362,257,104,0,1,0,0,187,71,45,0,0,357,1,4
"Arizona","Maricopa",2021,365,15,125,91,61,73,0,272,213,122,0,1,298,18,48
"Arizona","Mohave",2021,363,360,2,0,1,0,0,156,34,19,0,0,0,0,363
"Arizona","Navajo",2021,365,293,71,1,0,0,0,101,61,44,0,0,338,0,27
"Arizona","Pima",2021,365,143,208,13,0,0,1,315,85,53,0,0,200,58,107
